153,11
totalDiagnosticErrors_per_differentSlugs,totalTestsPassed_per_totalTestsRan,commitsStyleOK_per_totalCommits,differentSlugs_per_differentCourses,totalCommits,totalTestsRan,totalTestsPassed,totalDiagnosticErrors,differentSlugs,differentCourses,commitsStyleOK,averageGrade
40.666666666666664,0.7531451887113226,0.25333333333333335,15.0,75,2941,2215,610,15,1,19,77.286
362.0,0.7834394904458599,0.1111111111111111,2.0,9,157,123,724,2,1,1,100.0
39.90909090909091,0.6890902753572673,0.5855855855855856,22.0,222,5738,3954,878,22,1,130,79.0859090909091
35.09090909090909,0.8587588881706528,0.5045871559633027,22.0,109,3094,2657,772,22,1,55,97.55681818181819
49.75,0.8917748917748918,0.16666666666666666,4.0,12,231,206,199,4,1,2,94.5325
99.73333333333333,0.6851424172440339,0.21052631578947367,15.0,57,1299,890,1496,15,1,12,54.56333333333334
82.70588235294117,0.7551194539249146,0.11594202898550725,17.0,69,1172,885,1406,17,1,8,86.07470588235294
164.5,0.7656415694591728,0.21875,2.0,64,1886,1444,329,2,1,14,96.055
148.45454545454547,0.7319422150882825,0.07142857142857142,11.0,28,623,456,1633,11,1,2,61.358181818181826
51.0,0,0.0,2.0,7,0,0,102,2,1,0,0.0
18.636363636363637,0.9089385474860335,0.5342465753424658,22.0,73,1790,1627,410,22,1,39,81.81818181818181
26.0,0.10344827586206896,0.0,1.0,2,58,6,26,1,1,0,17.24
53.0,0.8924050632911392,0.0,3.0,22,632,564,159,3,1,0,100.0
42.55555555555556,0.7991587802313355,0.4375,9.0,64,1902,1520,383,9,1,28,95.46
236.2,0.8679838347552762,0.20967741935483872,5.0,62,2227,1933,1181,5,1,13,96.666
191.04761904761904,0.682800345721694,0.14942528735632185,21.0,174,4628,3160,4012,21,1,26,80.95238095238095
17.0,0.06896551724137931,0.0,1.0,3,87,6,17,1,1,0,13.79
49.44,0.7588222558995453,0.3878787878787879,25.0,165,4619,3505,1236,25,1,64,82.116
201.33333333333334,0.629156010230179,0.25,3.0,16,391,246,604,3,1,4,71.11
95.77777777777777,0.922521339461589,0.27906976744186046,9.0,43,1523,1405,862,9,1,12,88.88888888888889
25.285714285714285,0.6222222222222222,0.0,7.0,18,270,168,177,7,1,0,60.85142857142858
38.0,1.0,0.0,1.0,1,15,15,38,1,1,0,100.0
51.5,0.862796833773087,0.10526315789473684,6.0,19,379,327,309,6,1,2,61.95166666666666
15.333333333333334,0.851063829787234,0.5,3.0,10,47,40,46,3,1,5,66.66666666666667
143.5625,0.7982758620689655,0.20496894409937888,16.0,161,6380,5093,2297,16,1,33,83.2975
32.0,0.8921568627450981,0.3333333333333333,2.0,6,306,273,64,2,1,2,100.0
10.9,0.8064516129032258,0.5,10.0,10,186,150,109,10,1,5,82.0
2.0,0.0,0.3333333333333333,1.0,3,3,0,2,1,1,1,0.0
479.6666666666667,0.8918918918918919,0.0,3.0,11,74,66,1439,3,1,0,60.163333333333334
0.0,0.030303030303030304,1.0,1.0,2,66,2,0,1,1,2,6.06
0.0,1.0,1.0,1.0,1,5,5,0,1,1,1,100.0
0.25,0.84,0.8333333333333334,4.0,6,25,21,1,4,1,5,95.0
1.0,0.7719382835101254,0.9714285714285714,1.0,35,2074,1601,1,1,1,34,88.52
1.0,0.8773471833799441,0.9493670886075949,4.0,79,2503,2196,4,4,1,75,85.0
0.0,0.991321118611379,1.0,1.0,17,1037,1028,0,1,1,17,100.0
7.0,0.7340569877883311,0.7358490566037735,2.0,53,2211,1623,14,2,1,39,100.0
2.0,0.4336283185840708,0.6,4.0,20,339,147,8,4,1,12,85.625
4.0,0.9606557377049181,0.7894736842105263,1.0,19,915,879,4,1,1,15,100.0
60.0,1.0,0.0,1.0,1,82,82,60,1,1,0,100.0
15.0,0.8731665228645384,0.5588235294117647,1.0,34,1159,1012,15,1,1,19,100.0
0.0,0.56,1.0,2.0,5,25,14,0,2,1,5,100.0
2.75,0.3673469387755102,0.6666666666666666,4.0,33,98,36,11,4,1,22,80.0
0.0,0.9262295081967213,1.0,1.0,10,610,565,0,1,1,10,100.0
2.0,0.19672131147540983,0.8333333333333334,1.0,12,610,120,2,1,1,10,44.26
0.0,0.43,1.0,1.0,5,200,86,0,1,1,5,47.5
